source.ip,destination.ip,destination.port
192.168.1.194,151.101.1.69,53
192.168.2.110,199.232.69.194,53
192.168.2.146,31.13.72.36,21
192.168.3.31,10.0.0.17,3389
192.168.4.115,151.101.193.69,443
192.168.4.115,10.0.0.245,22
192.168.2.126,10.0.1.241,3306
192.168.1.218,10.0.0.27,22
192.168.2.155,10.0.1.77,3306
192.168.1.114,10.0.0.27,3389
192.168.4.73,23.185.0.2,53
192.168.5.229,199.232.69.194,53
192.168.2.153,10.0.0.17,22
192.168.5.229,10.0.0.245,53
192.168.1.111,10.0.0.245,22
192.168.1.114,10.0.0.32,3389
192.168.3.246,172.217.160.78,53
192.168.2.87,10.0.1.215,3306
192.168.5.252,151.101.1.69,80
192.168.1.114,52.94.236.248,443
192.168.5.82,104.244.42.65,123
192.168.5.170,10.0.0.27,3389
192.168.5.82,52.94.236.248,443
192.168.1.114,13.107.42.14,443
192.168.4.73,10.0.0.119,22
192.168.1.218,172.217.160.78,443
192.168.2.248,10.0.1.77,3306
192.168.2.110,199.232.69.194,53
192.168.1.218,10.0.0.17,3389
192.168.2.110,199.232.69.194,53
192.168.2.189,10.0.1.105,3306
192.168.3.68,31.13.72.36,3306
192.168.2.146,10.0.0.245,1433
192.168.4.73,10.0.0.32,22
192.168.5.82,104.244.42.65,443
192.168.2.110,10.0.0.17,22
192.168.2.112,10.0.0.27,22
192.168.1.111,10.0.0.245,3389
192.168.4.88,199.232.69.194,53
192.168.2.110,10.0.0.149,22
192.168.2.112,10.0.0.149,3389
192.168.2.29,10.0.1.188,3306
192.168.2.146,142.250.190.46,80
192.168.4.88,199.232.69.194,443
192.168.1.218,10.0.0.27,3389
192.168.3.31,23.185.0.2,443
192.168.5.170,199.232.69.194,80
192.168.2.110,104.244.42.65,80
192.168.3.246,13.107.42.14,80
192.168.2.153,52.94.236.248,80
192.168.4.88,10.0.0.245,123
192.168.5.229,23.185.0.2,80
192.168.1.218,142.250.190.46,53
192.168.4.88,10.0.0.27,3389
192.168.5.229,151.101.193.69,53
192.168.2.153,104.244.42.65,443
192.168.4.238,10.0.0.32,3389
192.168.5.252,199.232.69.194,443
192.168.2.112,31.13.72.36,80
192.168.5.82,172.217.160.78,53
192.168.5.229,10.0.0.149,22
192.168.3.68,10.0.0.27,22
192.168.2.146,104.244.42.65,443
192.168.1.194,10.0.0.27,3389
192.168.4.238,199.232.69.194,80
192.168.2.51,172.217.160.78,443
192.168.1.194,23.185.0.2,53
192.168.4.73,52.94.236.248,443
192.168.5.170,10.0.0.1,3389
192.168.4.88,10.0.0.1,22
192.168.4.88,104.244.42.65,443
192.168.3.31,10.0.0.1,3389
192.168.3.31,10.0.0.1,3389
192.168.1.111,10.0.0.25,22
192.168.2.87,10.0.1.59,3306
192.168.3.68,10.0.0.27,22
192.168.3.31,23.185.0.2,443
192.168.1.194,10.0.0.17,3389
192.168.4.88,142.250.190.46,443
192.168.4.73,10.0.0.27,3389
192.168.3.246,10.0.0.17,22
192.168.5.82,10.0.0.119,3389
192.168.1.111,23.185.0.2,443
192.168.4.88,31.13.72.36,443
192.168.1.114,10.0.0.32,22
192.168.2.110,23.185.0.2,3389
192.168.3.31,31.13.72.36,80
192.168.2.58,10.0.1.152,3306
192.168.4.238,10.0.0.27,3389
192.168.3.246,199.232.69.194,443
192.168.5.252,10.0.0.245,22
192.168.2.47,10.0.1.198,3306
192.168.5.82,142.250.190.46,25
192.168.4.238,10.0.0.17,22
192.168.1.111,172.217.160.78,443
192.168.2.110,13.107.42.14,443
192.168.5.252,10.0.0.32,22
192.168.3.246,104.244.42.65,80
192.168.2.112,10.0.0.27,22
192.168.4.238,10.0.0.119,3389
192.168.2.10,10.0.1.157,3306
192.168.4.115,151.101.193.69,21
192.168.3.31,10.0.0.151,22
192.168.5.170,10.0.0.17,3389
192.168.5.252,10.0.0.32,3389
192.168.1.218,172.217.160.78,53
192.168.5.82,13.107.42.14,53
192.168.2.110,10.0.0.27,22
192.168.5.82,10.0.0.119,3389
192.168.2.110,10.0.0.149,22
192.168.2.112,199.232.69.194,443
192.168.5.252,10.0.0.119,25
192.168.5.170,52.94.236.248,80
192.168.2.196,10.0.1.211,3306
192.168.1.111,13.107.42.14,443
192.168.2.153,151.101.1.69,53
192.168.4.73,10.0.0.25,3389
192.168.2.163,10.0.1.174,3306
192.168.2.176,10.0.1.79,3306
192.168.5.252,104.244.42.65,443
192.168.2.146,142.250.190.46,1433
192.168.4.115,52.94.236.248,53
192.168.1.218,52.94.236.248,161
192.168.2.110,10.0.0.32,22
192.168.2.225,10.0.1.81,3306
192.168.3.31,104.244.42.65,53
192.168.2.110,23.185.0.2,80
192.168.3.68,151.101.193.69,53
192.168.1.218,31.13.72.36,53
192.168.5.252,199.232.69.194,443
192.168.2.246,10.0.1.108,3306
192.168.4.115,31.13.72.36,53
192.168.3.31,10.0.0.151,3389
192.168.1.114,199.232.69.194,443
192.168.4.238,151.101.1.69,80
192.168.2.167,10.0.1.227,3306
192.168.3.246,172.217.160.78,443
192.168.3.31,10.0.0.27,22
192.168.2.112,10.0.0.25,22
192.168.2.146,151.101.1.69,53
192.168.1.111,104.244.42.65,53
192.168.2.146,142.250.190.46,80
192.168.4.88,31.13.72.36,53
192.168.4.238,52.94.236.248,443
192.168.2.110,10.0.0.17,443
192.168.2.51,31.13.72.36,443
192.168.2.110,23.185.0.2,443
192.168.2.61,10.0.1.79,3306
192.168.1.114,142.250.190.46,80
192.168.2.7,10.0.1.51,3306
192.168.5.252,172.217.160.78,161
192.168.5.252,10.0.0.1,80
192.168.1.218,10.0.0.32,22
192.168.4.238,151.101.193.69,80
192.168.3.246,104.244.42.65,80
192.168.1.194,104.244.42.65,80
192.168.4.73,10.0.0.1,3306
192.168.1.218,10.0.0.27,3389
192.168.4.238,151.101.193.69,80
192.168.2.153,10.0.0.119,22
192.168.1.111,172.217.160.78,53
192.168.2.146,10.0.0.119,22
192.168.4.238,13.107.42.14,80
192.168.2.112,104.244.42.65,443
192.168.4.238,23.185.0.2,53
192.168.5.229,199.232.69.194,443
192.168.4.115,31.13.72.36,443
192.168.4.88,10.0.0.27,3389
192.168.3.246,13.107.42.14,53
192.168.2.110,199.232.69.194,443
192.168.3.68,10.0.0.151,25
192.168.2.105,10.0.1.77,3306
192.168.5.170,10.0.0.32,3389
192.168.2.146,10.0.0.25,3389
192.168.1.194,142.250.190.46,443
192.168.2.173,10.0.1.99,3306
192.168.3.246,31.13.72.36,443
192.168.2.112,10.0.0.25,3389
192.168.3.31,151.101.193.69,53
192.168.1.218,10.0.0.119,123
192.168.2.51,172.217.160.78,443
192.168.4.115,151.101.1.69,80
192.168.3.31,23.185.0.2,3389
192.168.2.110,13.107.42.14,443
192.168.1.114,52.94.236.248,80
192.168.5.252,52.94.236.248,53
192.168.4.88,10.0.0.27,3389
192.168.3.31,10.0.0.119,443
192.168.3.68,10.0.0.149,3389
192.168.2.228,10.0.1.140,3306
192.168.3.246,10.0.0.25,22
192.168.1.194,23.185.0.2,80
192.168.5.170,10.0.0.149,22
192.168.3.68,199.232.69.194,443
192.168.5.170,10.0.0.151,3389
192.168.2.29,10.0.1.148,3306
192.168.2.146,151.101.193.69,53
192.168.2.63,10.0.1.39,3306
192.168.2.231,10.0.1.172,3306
192.168.4.115,151.101.1.69,53
192.168.2.85,10.0.1.146,3306
192.168.2.62,10.0.1.162,3306
192.168.2.146,151.101.1.69,80
192.168.2.112,10.0.0.32,3306
192.168.2.110,172.217.160.78,161
192.168.4.88,10.0.0.17,80
192.168.1.111,10.0.0.32,22
192.168.3.246,142.250.190.46,53
192.168.2.22,10.0.1.178,3306
192.168.2.180,10.0.1.216,3306
192.168.5.252,142.250.190.46,80
192.168.4.73,151.101.193.69,80
192.168.2.48,10.0.1.167,3306
192.168.2.110,31.13.72.36,443
192.168.4.73,13.107.42.14,23
192.168.1.194,10.0.0.32,3389
192.168.2.51,10.0.0.149,3389
192.168.5.229,13.107.42.14,3306
192.168.2.112,10.0.0.25,3389
192.168.2.153,172.217.160.78,443
192.168.4.88,151.101.1.69,53
192.168.4.238,10.0.0.25,1433
192.168.4.73,10.0.0.151,3389
192.168.2.178,10.0.1.68,3306
192.168.3.68,13.107.42.14,80
192.168.3.31,151.101.1.69,53
192.168.3.31,10.0.0.1,3389
192.168.2.110,10.0.0.17,3389
192.168.5.229,142.250.190.46,53
192.168.4.238,23.185.0.2,3306
192.168.2.146,172.217.160.78,80
192.168.4.88,10.0.0.149,3389
192.168.2.163,10.0.1.121,3306
192.168.2.172,10.0.1.150,3306
192.168.3.31,10.0.0.1,22
192.168.2.153,151.101.1.69,443
192.168.2.110,52.94.236.248,80
192.168.2.153,31.13.72.36,80
192.168.2.72,10.0.1.53,3306
192.168.4.88,199.232.69.194,53
192.168.2.134,10.0.1.137,3306
192.168.4.115,10.0.0.17,80
192.168.3.31,10.0.0.27,22
192.168.2.153,10.0.0.27,3389
192.168.1.194,199.232.69.194,53
192.168.2.170,10.0.1.195,3306
192.168.4.88,13.107.42.14,53
192.168.2.110,151.101.1.69,443
192.168.1.218,151.101.1.69,53
192.168.1.114,31.13.72.36,443
192.168.4.73,52.94.236.248,443
192.168.1.218,31.13.72.36,53
192.168.4.88,10.0.0.17,25
192.168.5.229,172.217.160.78,53
192.168.5.170,10.0.0.27,22
192.168.3.31,31.13.72.36,443
192.168.1.194,199.232.69.194,80
192.168.5.252,172.217.160.78,80
192.168.1.218,31.13.72.36,443
192.168.3.246,13.107.42.14,80
192.168.4.238,13.107.42.14,443
192.168.3.68,10.0.0.151,3389
192.168.3.68,52.94.236.248,80
192.168.5.229,13.107.42.14,80
192.168.5.170,31.13.72.36,443
192.168.2.146,10.0.0.1,22
192.168.1.111,31.13.72.36,443
192.168.2.51,31.13.72.36,53
192.168.5.229,23.185.0.2,21
192.168.2.224,10.0.1.78,3306
192.168.2.76,10.0.1.150,3306
192.168.4.88,23.185.0.2,443
192.168.1.194,52.94.236.248,53
192.168.1.111,10.0.0.32,3389
192.168.1.111,31.13.72.36,80
192.168.5.170,104.244.42.65,25
192.168.5.252,10.0.0.27,22
192.168.3.68,10.0.0.119,3389
192.168.5.252,10.0.0.17,3389
192.168.2.3,10.0.1.114,3306
192.168.2.218,10.0.1.25,3306
192.168.2.112,31.13.72.36,53
192.168.2.153,10.0.0.17,3389
192.168.2.146,23.185.0.2,443
192.168.5.229,10.0.0.151,22
192.168.5.82,151.101.1.69,443
192.168.1.218,10.0.0.27,3389
192.168.2.51,10.0.0.1,3389
192.168.4.73,13.107.42.14,53
192.168.2.110,31.13.72.36,53
192.168.5.170,142.250.190.46,443
192.168.1.111,52.94.236.248,80
192.168.2.14,10.0.1.60,3306
192.168.2.110,10.0.0.27,21
192.168.1.114,10.0.0.17,25
192.168.2.30,10.0.1.98,3306
192.168.2.51,52.94.236.248,443
192.168.5.252,23.185.0.2,53
192.168.2.153,10.0.0.25,22
192.168.1.111,31.13.72.36,80
192.168.1.194,104.244.42.65,53
192.168.5.170,23.185.0.2,80
192.168.4.115,151.101.1.69,443
192.168.1.194,172.217.160.78,443
192.168.3.68,23.185.0.2,80
192.168.3.68,10.0.0.32,22
192.168.2.51,52.94.236.248,443
192.168.2.51,52.94.236.248,53
192.168.2.10,10.0.1.75,3306
192.168.3.68,10.0.0.119,3389
192.168.2.110,104.244.42.65,53
192.168.1.218,142.250.190.46,443
192.168.2.146,10.0.0.32,3389
192.168.2.112,52.94.236.248,80
192.168.5.82,151.101.1.69,53
192.168.4.88,10.0.0.32,22
192.168.3.246,172.217.160.78,53
192.168.5.170,13.107.42.14,80
192.168.2.153,10.0.0.32,22
192.168.5.252,10.0.0.25,3389
192.168.5.82,13.107.42.14,443
192.168.3.246,10.0.0.119,3389
192.168.1.194,10.0.0.27,22
192.168.3.68,13.107.42.14,53
192.168.2.51,10.0.0.119,22
192.168.2.112,31.13.72.36,80
192.168.3.246,10.0.0.119,3389
192.168.3.31,10.0.0.25,3389
192.168.2.110,10.0.0.27,22
192.168.4.238,23.185.0.2,443
192.168.2.112,10.0.0.1,22
192.168.5.170,151.101.1.69,53
192.168.4.238,142.250.190.46,443
192.168.2.110,199.232.69.194,80
192.168.4.115,10.0.0.1,22
192.168.4.73,10.0.0.1,3389
192.168.3.246,10.0.0.32,23
192.168.2.51,151.101.193.69,53
192.168.2.110,13.107.42.14,53
192.168.2.51,10.0.0.27,22
192.168.2.99,10.0.1.88,3306
192.168.3.246,10.0.0.245,3389
192.168.3.31,10.0.0.32,22
192.168.4.238,31.13.72.36,53
192.168.4.115,13.107.42.14,80
192.168.1.114,10.0.0.151,123
192.168.3.68,10.0.0.151,22
192.168.2.110,151.101.1.69,53
192.168.5.252,151.101.193.69,53
192.168.5.229,151.101.193.69,161
192.168.2.146,142.250.190.46,443
192.168.4.115,10.0.0.245,3389
192.168.1.194,10.0.0.119,3389
192.168.1.194,10.0.0.17,3389
192.168.5.229,13.107.42.14,80
192.168.4.238,10.0.0.27,3389
192.168.2.181,10.0.1.136,3306
192.168.4.73,10.0.0.149,3389
192.168.5.82,10.0.0.17,22
192.168.4.88,23.185.0.2,53
192.168.2.128,10.0.1.66,3306
192.168.2.75,10.0.1.35,3306
192.168.2.88,10.0.1.243,3306
192.168.2.94,10.0.1.31,3306
192.168.2.110,10.0.0.27,22
192.168.3.246,199.232.69.194,1433
192.168.2.110,151.101.193.69,80
192.168.2.40,10.0.1.129,3306
192.168.1.111,10.0.0.1,3306
192.168.1.114,151.101.193.69,53
192.168.2.68,10.0.1.215,3306
192.168.2.53,10.0.1.162,3306
192.168.3.31,13.107.42.14,53
192.168.3.31,151.101.193.69,443
192.168.3.246,142.250.190.46,443
192.168.1.194,10.0.0.25,3389
192.168.1.194,10.0.0.1,80
192.168.3.31,52.94.236.248,53
192.168.3.68,13.107.42.14,443
192.168.1.114,10.0.0.151,22
192.168.2.112,151.101.1.69,80
192.168.2.51,10.0.0.1,3389
192.168.5.170,10.0.0.32,3389
192.168.4.73,52.94.236.248,53
192.168.2.110,104.244.42.65,443
192.168.4.238,52.94.236.248,443
192.168.2.110,13.107.42.14,53
192.168.2.131,10.0.1.165,3306
192.168.2.9,10.0.1.35,3306
192.168.4.88,10.0.0.32,3389
192.168.3.246,23.185.0.2,53
192.168.4.88,10.0.0.27,22
192.168.2.77,10.0.1.110,3306
192.168.4.73,199.232.69.194,80
192.168.5.252,199.232.69.194,443
192.168.2.110,52.94.236.248,443
192.168.2.87,10.0.1.239,3306
192.168.2.146,52.94.236.248,80
192.168.5.82,199.232.69.194,80
192.168.1.111,10.0.0.245,3389
192.168.3.31,13.107.42.14,443
192.168.2.146,199.232.69.194,53
192.168.2.146,172.217.160.78,443
192.168.3.68,52.94.236.248,53
192.168.2.179,10.0.1.219,3306
192.168.4.115,10.0.0.25,3389
192.168.4.238,10.0.0.245,22
192.168.4.73,31.13.72.36,80
192.168.5.252,10.0.0.245,3389
192.168.1.194,10.0.0.1,3389
192.168.1.218,10.0.0.27,22
192.168.4.238,10.0.0.245,3389
192.168.2.51,13.107.42.14,53
192.168.2.112,31.13.72.36,53
192.168.2.51,10.0.0.27,3389
192.168.4.88,199.232.69.194,443
192.168.5.252,172.217.160.78,443
192.168.1.111,151.101.193.69,443
192.168.2.110,23.185.0.2,53
192.168.2.146,199.232.69.194,443
192.168.1.194,172.217.160.78,53
192.168.2.146,10.0.0.27,443
192.168.5.170,151.101.1.69,53
192.168.1.194,172.217.160.78,443
192.168.1.114,10.0.0.149,3389
192.168.1.114,10.0.0.25,53
192.168.4.238,23.185.0.2,443
192.168.2.51,151.101.1.69,443
192.168.2.146,10.0.0.245,3389
192.168.4.88,13.107.42.14,3389
192.168.5.82,10.0.0.25,3306
192.168.4.115,10.0.0.119,1433
192.168.1.114,13.107.42.14,80
192.168.2.4,10.0.1.216,3306
192.168.2.243,10.0.1.238,3306
192.168.5.82,151.101.1.69,443
192.168.5.170,151.101.193.69,80
192.168.2.153,10.0.0.1,22
192.168.2.11,10.0.1.130,3306
192.168.5.170,172.217.160.78,53
192.168.4.88,10.0.0.17,3389
192.168.4.88,10.0.0.25,3389
192.168.1.111,142.250.190.46,443
192.168.4.115,151.101.1.69,80
192.168.4.238,10.0.0.27,3389
192.168.1.111,52.94.236.248,80
192.168.5.252,10.0.0.25,22
192.168.5.229,199.232.69.194,22
192.168.1.218,172.217.160.78,80
192.168.5.229,10.0.0.119,22
192.168.2.141,10.0.1.47,3306
192.168.2.16,10.0.1.145,3306
192.168.1.111,31.13.72.36,443
192.168.2.112,151.101.193.69,80
192.168.1.111,10.0.0.27,80
192.168.5.82,151.101.193.69,53
192.168.3.31,13.107.42.14,80
192.168.4.238,104.244.42.65,53
192.168.5.82,142.250.190.46,80
192.168.2.246,10.0.1.254,3306
192.168.4.73,52.94.236.248,80
192.168.5.82,52.94.236.248,443
192.168.2.110,10.0.0.32,3389
192.168.3.68,13.107.42.14,80
192.168.4.73,172.217.160.78,80
192.168.2.146,52.94.236.248,3306
192.168.1.218,10.0.0.17,22
192.168.5.252,10.0.0.1,3389
192.168.1.194,10.0.0.27,3389
192.168.2.112,10.0.0.149,1433
192.168.5.252,104.244.42.65,443
192.168.4.73,10.0.0.149,25
192.168.3.31,10.0.0.17,22
192.168.3.68,10.0.0.245,21
192.168.4.73,104.244.42.65,53
192.168.2.191,10.0.1.180,3306
192.168.3.246,10.0.0.27,22
192.168.4.238,52.94.236.248,80
192.168.4.238,151.101.1.69,80
192.168.5.252,10.0.0.149,3389
192.168.2.153,151.101.1.69,80
192.168.4.73,23.185.0.2,80
192.168.2.146,151.101.1.69,443
192.168.2.174,10.0.1.16,3306
192.168.3.31,10.0.0.27,3389
192.168.2.170,10.0.1.200,3306
192.168.1.111,10.0.0.25,21
192.168.3.246,10.0.0.151,3389
192.168.4.238,31.13.72.36,53
192.168.2.110,199.232.69.194,53
192.168.2.153,151.101.1.69,443
192.168.4.88,10.0.0.17,22
192.168.3.68,13.107.42.14,443
192.168.1.194,172.217.160.78,443
192.168.5.170,142.250.190.46,80
192.168.3.31,151.101.1.69,443
192.168.3.68,13.107.42.14,80
192.168.1.114,31.13.72.36,53
192.168.2.48,10.0.1.164,3306
192.168.2.217,10.0.1.233,3306
192.168.3.68,142.250.190.46,53
192.168.2.153,10.0.0.119,3389
192.168.2.146,172.217.160.78,53
192.168.2.60,10.0.1.82,3306
192.168.4.238,23.185.0.2,80
192.168.4.115,10.0.0.119,3389
192.168.2.51,10.0.0.17,3389
192.168.2.51,151.101.193.69,3389
192.168.1.111,23.185.0.2,80
192.168.5.229,151.101.1.69,53
192.168.1.194,10.0.0.245,3389
192.168.2.112,10.0.0.245,22
192.168.4.73,13.107.42.14,443
192.168.2.112,199.232.69.194,443
192.168.4.88,151.101.1.69,80
192.168.5.170,151.101.193.69,53
192.168.5.252,104.244.42.65,443
192.168.4.238,172.217.160.78,80
192.168.3.31,13.107.42.14,53
192.168.2.112,199.232.69.194,80
192.168.1.111,10.0.0.32,123
192.168.4.115,151.101.1.69,80
192.168.3.246,10.0.0.1,25
192.168.1.194,13.107.42.14,53
192.168.5.170,52.94.236.248,80
192.168.2.153,142.250.190.46,80
192.168.3.31,199.232.69.194,53
192.168.4.88,10.0.0.25,3389
192.168.3.31,23.185.0.2,443
192.168.2.146,23.185.0.2,53
192.168.2.146,13.107.42.14,53
192.168.1.194,10.0.0.27,3389
192.168.2.143,10.0.1.146,3306
192.168.1.111,13.107.42.14,80
192.168.2.51,104.244.42.65,53
192.168.5.170,199.232.69.194,80
192.168.5.82,10.0.0.27,3389
192.168.2.110,31.13.72.36,53
192.168.4.73,52.94.236.248,80
192.168.3.31,10.0.0.17,3389
192.168.5.252,10.0.0.27,22
192.168.3.31,10.0.0.119,22
192.168.2.112,10.0.1.240,3306
192.168.1.114,10.0.0.149,22
192.168.2.51,10.0.0.27,123
192.168.2.153,52.94.236.248,443
192.168.2.112,10.0.0.119,80
192.168.1.194,10.0.0.27,3389
192.168.5.252,10.0.0.245,3389
192.168.2.153,10.0.0.245,3389
192.168.2.153,10.0.0.119,3389
192.168.2.112,13.107.42.14,53
192.168.4.115,10.0.0.25,3389
192.168.2.112,10.0.0.27,22
192.168.2.231,10.0.1.183,3306
192.168.3.246,31.13.72.36,80
192.168.1.111,10.0.0.32,3389
192.168.2.26,10.0.1.206,3306
192.168.1.194,31.13.72.36,80
192.168.5.170,23.185.0.2,443
192.168.2.110,10.0.0.149,3389
192.168.5.252,10.0.0.32,3389
192.168.2.149,10.0.1.2,3306
192.168.3.31,151.101.193.69,53
192.168.4.73,151.101.1.69,53
192.168.2.51,10.0.0.32,21
192.168.5.252,172.217.160.78,80
192.168.4.88,172.217.160.78,53
192.168.1.111,151.101.1.69,80
192.168.2.98,10.0.1.185,3306
192.168.3.68,31.13.72.36,80
192.168.4.88,52.94.236.248,53
192.168.5.170,10.0.0.27,22
192.168.2.51,10.0.0.25,3389
192.168.1.114,104.244.42.65,53
192.168.5.82,10.0.0.245,22
192.168.3.31,172.217.160.78,443
192.168.1.111,10.0.0.32,22
192.168.2.10,10.0.1.154,3306
192.168.2.51,23.185.0.2,80
192.168.3.31,104.244.42.65,3389
192.168.2.51,23.185.0.2,80
192.168.2.51,10.0.0.27,22
192.168.3.246,23.185.0.2,80
192.168.2.23,10.0.1.38,3306
192.168.5.170,31.13.72.36,80
192.168.2.110,104.244.42.65,53
192.168.3.246,151.101.1.69,80
192.168.4.73,52.94.236.248,3389
192.168.1.218,10.0.0.1,3389
192.168.3.31,31.13.72.36,1433
192.168.2.125,10.0.1.141,3306
192.168.5.170,142.250.190.46,443
192.168.2.245,10.0.1.120,3306
192.168.4.73,31.13.72.36,53
192.168.2.110,10.0.0.25,3389
192.168.3.31,142.250.190.46,80
192.168.2.110,13.107.42.14,80
192.168.2.110,142.250.190.46,53
192.168.1.111,13.107.42.14,53
192.168.2.112,104.244.42.65,443
192.168.2.112,104.244.42.65,80
192.168.2.51,13.107.42.14,80
192.168.1.194,172.217.160.78,443
192.168.5.229,10.0.0.27,3389
192.168.3.246,10.0.0.245,3389
192.168.4.73,23.185.0.2,80
192.168.4.238,151.101.1.69,53
192.168.2.51,10.0.0.1,3389
192.168.4.238,104.244.42.65,53
192.168.2.51,13.107.42.14,443
192.168.5.82,10.0.0.149,3389
192.168.5.252,172.217.160.78,53
192.168.1.114,10.0.0.32,3389
192.168.3.31,10.0.0.151,3389
192.168.2.145,10.0.1.71,3306
192.168.5.229,13.107.42.14,80
192.168.4.115,10.0.0.119,22
192.168.4.73,10.0.0.119,22
192.168.3.68,10.0.0.149,22
192.168.1.194,151.101.193.69,80
192.168.5.82,52.94.236.248,443
192.168.2.233,10.0.1.230,3306
192.168.4.238,31.13.72.36,80
192.168.2.153,52.94.236.248,80
192.168.4.238,31.13.72.36,80
192.168.2.169,10.0.1.146,3306
192.168.4.73,23.185.0.2,80
192.168.5.82,172.217.160.78,80
192.168.2.51,151.101.1.69,53
192.168.4.73,151.101.1.69,443
192.168.2.112,23.185.0.2,80
192.168.4.238,10.0.0.1,3389
192.168.5.170,31.13.72.36,443
192.168.2.51,151.101.193.69,443
192.168.2.51,142.250.190.46,80
192.168.4.88,10.0.0.27,22
192.168.4.73,199.232.69.194,80
192.168.4.88,151.101.193.69,443
192.168.1.114,142.250.190.46,53
192.168.2.153,23.185.0.2,53
192.168.2.153,151.101.193.69,53
192.168.5.252,10.0.0.1,3389
192.168.3.246,31.13.72.36,80
192.168.2.112,151.101.1.69,80
192.168.3.68,10.0.0.27,1433
192.168.5.170,151.101.193.69,80
192.168.5.252,10.0.0.25,3389
192.168.1.218,31.13.72.36,25
192.168.4.238,10.0.0.27,22
192.168.2.146,10.0.0.27,22
192.168.1.194,10.0.0.27,80
192.168.3.246,10.0.0.17,3389
192.168.4.115,172.217.160.78,80
192.168.1.194,199.232.69.194,443
192.168.2.110,142.250.190.46,53
192.168.2.218,10.0.1.166,3306
192.168.4.115,31.13.72.36,53
192.168.3.68,104.244.42.65,53
192.168.4.115,10.0.0.27,22
192.168.4.88,10.0.0.25,22
192.168.1.194,10.0.0.27,22
192.168.1.194,13.107.42.14,80
192.168.3.246,31.13.72.36,443
192.168.2.230,10.0.1.229,3306
192.168.3.68,10.0.0.1,22
192.168.1.194,151.101.1.69,53
192.168.2.112,10.0.1.121,3306
192.168.2.112,52.94.236.248,53
192.168.4.238,31.13.72.36,443
192.168.2.112,52.94.236.248,53
192.168.3.31,10.0.0.27,3389
192.168.2.153,10.0.1.5,3306
192.168.2.110,10.0.0.32,22
192.168.2.51,10.0.0.32,3389
192.168.1.218,151.101.193.69,80
192.168.4.73,10.0.0.27,3389
192.168.2.146,10.0.0.32,22
192.168.1.194,52.94.236.248,80
192.168.4.88,10.0.0.151,3389
192.168.2.110,23.185.0.2,53
192.168.3.246,142.250.190.46,443
192.168.2.244,10.0.1.140,3306
192.168.2.153,172.217.160.78,80
192.168.3.68,172.217.160.78,53
192.168.1.111,52.94.236.248,53
192.168.5.170,199.232.69.194,80
192.168.2.112,151.101.1.69,80
192.168.1.218,52.94.236.248,53
192.168.2.146,10.0.1.181,3306
192.168.2.51,10.0.0.245,3389
192.168.2.164,10.0.1.236,3306
192.168.3.246,10.0.0.1,22
192.168.4.115,142.250.190.46,80
192.168.2.153,10.0.0.32,22
192.168.5.170,31.13.72.36,53
192.168.2.153,10.0.0.32,22
192.168.4.73,10.0.0.1,3389
192.168.5.252,10.0.0.17,1433
192.168.1.114,142.250.190.46,53
192.168.1.218,10.0.0.25,22
192.168.3.31,104.244.42.65,443
192.168.4.115,104.244.42.65,53
192.168.3.68,199.232.69.194,3306
192.168.2.190,10.0.1.86,3306
192.168.4.238,10.0.0.27,3389
192.168.3.31,23.185.0.2,53
192.168.2.110,10.0.0.245,123
192.168.1.194,151.101.193.69,443
192.168.3.31,13.107.42.14,80
192.168.4.115,10.0.0.119,123
192.168.3.68,151.101.193.69,53
192.168.1.194,31.13.72.36,53
192.168.5.252,10.0.0.17,3389
192.168.2.153,13.107.42.14,80
192.168.3.31,172.217.160.78,443
192.168.2.51,199.232.69.194,53
192.168.1.218,151.101.1.69,53
192.168.2.51,10.0.0.149,22
192.168.2.133,10.0.1.218,3306
192.168.3.31,23.185.0.2,80
192.168.2.110,151.101.193.69,80
192.168.3.31,151.101.193.69,22
192.168.3.68,172.217.160.78,443
192.168.5.229,23.185.0.2,443
192.168.5.82,10.0.0.149,3389
192.168.2.239,10.0.1.24,3306
192.168.4.238,13.107.42.14,53
192.168.4.238,199.232.69.194,443
192.168.1.111,10.0.0.32,22
192.168.2.112,13.107.42.14,443
192.168.5.252,10.0.0.1,22
192.168.4.238,151.101.1.69,53
192.168.4.73,10.0.0.32,3389
192.168.4.115,199.232.69.194,443
192.168.5.252,10.0.0.32,22
192.168.4.73,151.101.1.69,3306
192.168.4.88,199.232.69.194,443
192.168.2.146,10.0.0.151,22
192.168.5.252,10.0.0.32,443
192.168.1.111,10.0.0.27,3389
192.168.1.114,10.0.0.151,22
192.168.1.114,10.0.0.245,22
192.168.3.68,10.0.0.32,22
192.168.4.88,104.244.42.65,443
192.168.2.110,10.0.0.149,22
192.168.2.38,10.0.1.66,3306
192.168.2.146,10.0.0.27,123
192.168.1.111,23.185.0.2,80
192.168.2.110,10.0.0.25,22
192.168.2.110,10.0.0.1,22
192.168.2.71,10.0.1.171,3306
192.168.2.47,10.0.1.45,3306
192.168.4.88,23.185.0.2,80
192.168.2.110,199.232.69.194,53
192.168.3.68,104.244.42.65,123
192.168.1.194,10.0.0.27,21
192.168.2.153,199.232.69.194,53
192.168.5.252,172.217.160.78,80
192.168.5.229,10.0.0.151,22
192.168.2.172,10.0.1.248,3306
192.168.2.110,52.94.236.248,443
192.168.2.110,10.0.1.27,3306
